Date,st_ko
2006-01-03,12.446653366088867
2006-01-04,12.422310829162598
2006-01-05,12.483171463012695
2006-01-06,12.601853370666504
2006-01-09,12.66271686553955
2006-01-10,12.674890518188477
2006-01-11,12.680980682373047
2006-01-12,12.61098861694336
2006-01-13,12.571425437927246
2006-01-17,12.48621654510498
2006-01-18,12.422310829162598
2006-01-19,12.455784797668457
2006-01-20,12.200155258178711
2006-01-23,12.324923515319824
2006-01-24,12.446653366088867
2006-01-25,12.519688606262207
2006-01-26,12.62315845489502
2006-01-27,12.772278785705566
2006-01-30,12.705322265625
2006-01-31,12.592727661132812
2006-02-01,12.629244804382324
2006-02-02,12.547078132629395
2006-02-03,12.440566062927246
2006-02-06,12.458826065063477
2006-02-07,12.48621654510498
2006-02-08,12.547078132629395
2006-02-09,12.477086067199707
2006-02-10,12.525777816772461
2006-02-13,12.39796257019043
2006-02-14,12.580554008483887
2006-02-15,12.580554008483887
2006-02-16,12.656634330749512
2006-02-17,12.717497825622559
2006-02-21,12.735753059387207
2006-02-22,12.805749893188477
2006-02-23,12.790534973144531
2006-02-24,12.851395606994629
2006-02-27,12.942696571350098
2006-02-28,12.772278785705566
2006-03-01,12.875744819641113
2006-03-02,12.754015922546387
2006-03-03,12.720541954040527
2006-03-06,12.766185760498047
2006-03-07,12.720541954040527
2006-03-08,12.851395606994629
2006-03-09,12.903135299682617
2006-03-10,13.015732765197754
2006-03-13,13.024923324584961
2006-03-14,13.11689281463623
2006-03-15,13.098496437072754
2006-03-16,13.08623218536377
2006-03-17,13.11689281463623
2006-03-20,13.147544860839844
2006-03-21,13.104628562927246
2006-03-22,13.110763549804688
2006-03-23,13.000402450561523
2006-03-24,13.07703685760498
2006-03-27,12.994270324707031
2006-03-28,12.923771858215332
2006-03-29,12.923771858215332
2006-03-30,12.911507606506348
2006-03-31,12.834869384765625
2006-04-03,12.834869384765625
2006-04-04,12.899243354797363
2006-04-05,12.859392166137695
2006-04-06,12.779693603515625
2006-04-07,12.67546558380127
2006-04-10,12.715316772460938
2006-04-11,12.65708065032959
2006-04-12,12.614161491394043
2006-04-13,12.647884368896484
2006-04-17,12.58044147491455
2006-04-18,12.660143852233887
2006-04-19,12.779693603515625
2006-04-20,12.816481590270996
2006-04-21,12.828739166259766
2006-04-24,12.73984432220459
2006-04-25,12.67546558380127
2006-04-26,12.788891792297363
2006-04-27,12.890049934387207
2006-04-28,12.86246109008789
2006-05-01,12.865524291992188
2006-05-02,12.94829273223877
2006-05-03,12.850199699401855
2006-05-04,12.899243354797363
2006-05-05,13.092364311218262
2006-05-08,13.294684410095215
2006-05-09,13.386642456054688
2006-05-10,13.35905647277832
2006-05-11,13.297744750976562
2006-05-12,13.236437797546387
2006-05-15,13.469412803649902
2006-05-16,13.438751220703125
2006-05-17,13.349863052368164
2006-05-18,13.349863052368164
2006-05-19,13.380515098571777
2006-05-22,13.365189552307129
2006-05-23,13.35905647277832
2006-05-24,13.497000694274902
2006-05-25,13.601224899291992
2006-05-26,13.638005256652832
2006-05-30,13.386642456054688
2006-05-31,13.497000694274902
2006-06-01,13.46328067779541
2006-06-02,13.454084396362305
2006-06-05,13.313077926635742
2006-06-06,13.334529876708984
2006-06-07,13.297744750976562
2006-06-08,13.300816535949707
2006-06-09,13.349863052368164
2006-06-12,13.276288986206055
2006-06-13,13.248503684997559
2006-06-14,13.21762466430664
2006-06-15,13.288640022277832
2006-06-16,13.341126441955566
2006-06-19,13.254676818847656
2006-06-20,13.214542388916016
2006-06-21,13.279374122619629
2006-06-22,13.236154556274414
2006-06-23,13.199104309082031
2006-06-26,13.223803520202637
2006-06-27,13.12500286102295
2006-06-28,13.097208976745605
2006-06-29,13.294816970825195
2006-06-30,13.282462120056152
2006-07-03,13.39052963256836
2006-07-05,13.282462120056152
2006-07-06,13.378181457519531
2006-07-07,13.33186149597168
2006-07-10,13.470802307128906
2006-07-11,13.52637767791748
2006-07-12,13.452275276184082
2006-07-13,13.307167053222656
2006-07-14,13.168230056762695
2006-07-17,13.183663368225098
2006-07-18,13.446107864379883
2006-07-19,13.529465675354004
2006-07-20,13.535635948181152
2006-07-21,13.55416202545166
2006-07-24,13.585040092468262
2006-07-25,13.662224769592285
2006-07-26,13.723983764648438
2006-07-27,13.680754661560059
2006-07-28,13.745588302612305
2006-07-31,13.739418983459473
2006-08-01,13.680754661560059
2006-08-02,13.680754661560059
2006-08-03,13.591212272644043
2006-08-04,13.538724899291992
2006-08-07,13.464632034301758
2006-08-08,13.52637767791748
2006-08-09,13.507852554321289
2006-08-10,13.55416202545166
2006-08-11,13.51093864440918
2006-08-14,13.581954956054688
2006-08-15,13.683839797973633
2006-08-16,13.686925888061523
2006-08-17,13.64061450958252
2006-08-18,13.680754661560059
2006-08-21,13.643707275390625
2006-08-22,13.711631774902344
2006-08-23,13.683839797973633
2006-08-24,13.742502212524414
2006-08-25,13.745588302612305
2006-08-28,13.804252624511719
2006-08-29,13.937012672424316
2006-08-30,13.881442070007324
2006-08-31,13.83513069152832
2006-09-01,13.915410041809082
2006-09-05,13.887611389160156
2006-09-06,13.801163673400879
2006-09-07,13.736326217651367
2006-09-08,13.770295143127441
2006-09-11,13.754851341247559
2006-09-12,13.8258638381958
2006-09-13,13.869388580322266
2006-09-14,13.860065460205078
2006-09-15,13.866283416748047
2006-09-18,13.816536903381348
2006-09-19,13.797886848449707
2006-09-20,13.81965160369873
2006-09-21,13.741923332214355
2006-09-22,13.676639556884766
2006-09-25,13.804109573364258
2006-09-26,13.878714561462402
2006-09-27,13.900482177734375
